x y z
0.1 -5.5 1696.427055
0.1 -5.4 1694.067199
0.1 -5.3 1691.640207
0.1 -5.2 1689.138285
0.1 -5.1 1686.55248
0.1 -5 1683.872445
0.1 -4.9 1681.086148
0.1 -4.8 1678.179505
0.1 -4.7 1675.135924
0.1 -4.6 1671.935718
0.1 -4.5 1668.555367
0.1 -4.4 1664.966574
0.1 -4.3 1661.135057
0.1 -4.2 1657.019023
0.1 -4.1 1652.567236
0.1 -4 1647.71663
0.1 -3.9 1642.389466
0.1 -3.8 1636.490156
0.1 -3.7 1629.902173
0.1 -3.6 1622.485986
0.1 -3.5 1614.079698
0.1 -3.4 1604.504845
0.1 -3.3 1593.57973
0.1 -3.2 1581.140479
0.1 -3.1 1567.065091
0.1 -3 1551.290902
0.1 -2.9 1533.816467
0.1 -2.8 1514.686883
0.1 -2.7 1493.970463
0.1 -2.6 1471.736879
0.1 -2.5 1448.042498
0.1 -2.4 1422.923318
0.1 -2.3 1396.393192
0.1 -2.2 1368.444789
0.1 -2.1 1339.051523
0.1 -2 1308.169488
0.1 -1.9 1275.739003
0.1 -1.8 1241.685642
0.1 -1.7 1205.92077
0.1 -1.6 1168.341645
0.1 -1.5 1128.83114
0.1 -1.4 1087.257108
0.1 -1.3 1043.471401
0.1 -1.2 997.3084208
0.1 -1.1 948.5830063
0.1 -1 897.0871391
0.1 -0.9 842.5844732
0.1 -0.8 784.8006094
0.1 -0.7 723.4047967
0.1 -0.6 657.9737113
0.1 -0.5 587.9157677
0.1 -0.4 512.3015024
0.1 -0.3 429.4417602
0.1 -0.2 335.6500578
0.1 -0.1 221.4727733
0.1 0 150.3447586
0.1 0.1 126.6063738
0.1 0.2 112.4442229
0.1 0.3 101.7335128
0.1 0.4 92.74407171
0.1 0.5 84.71798055
0.1 0.6 77.26630289
0.1 0.7 70.17940218
0.1 0.8 63.34635912
0.1 0.9 56.71480789
0.1 1 50.26896659
0.1 1.1 44.0172924
0.1 1.2 37.98622877
0.1 1.3 32.21925565
0.1 1.4 26.78376122
0.1 1.5 21.79661361
0.1 1.6 17.50197925
0.1 1.7 14.36433495
0.1 1.8 12.4360241
0.1 1.9 11.04915512
0.1 2 9.858707145
0.1 2.1 8.76740461
0.1 2.2 7.740013873
0.1 2.3 6.758964512
0.1 2.4 5.813584332
0.1 2.5 4.896644829
0.1 2.6 4.002933348
0.1 2.7 3.128539684
0.1 2.8 2.270449505
0.1 2.9 1.42629128
0.1 3 0.5941693814
0.1 3.1 -0.2274493232
0.1 3.2 -1.039803206
0.1 3.3 -1.843598076
0.1 3.4 -2.639186107
0.1 3.5 -3.426904144
0.1 3.6 -4.206459822
0.1 3.7 -4.976910354
0.1 3.8 -5.736521612
0.1 3.9 -6.482697289
0.1 4 -7.212119973
0.1 4.1 -7.921210484
0.1 4.2 -8.606846657
0.1 4.3 -9.267058749
0.1 4.4 -9.901369325
0.1 4.5 -10.51067038
0.1 4.6 -11.09680484
0.1 4.7 -11.66209709
